locality,account_id,address_clean,OBJECTID,zoning,owner,address,acres,land_value,total_value,year_built,zone_name,zone_category
Danville,2043,WORSHAM ST,392,OTR,CITY OF DANVILLE,WORSHAM ST,0.25,800,800,0,Old Town Residential,Residential
Danville,2044,426 WORSHAM ST,396,OTR,CITY OF DANVILLE,426 WORSHAM ST,0.25,1400,1400,0,Old Town Residential,Residential
Danville,1453,N MAIN ST,469,TOC,DANVILLE REDEVELOPMENT AND HOUSING AUTHORITY,N MAIN ST,0.3,2600,2600,1920,Transitional Office,Office/Commercial
Danville,3282,CAMPBELL ST,476,OTR,DANVILLE REDEVELOPMENT AND HOUSING AUTHORITY,CAMPBELL ST,0.38,1900,1900,NA,Old Town Residential,Residential
Danville,1583,WORSHAM ST,386,OTR,CITY OF DANVILLE,WORSHAM ST,0.39,1100,1100,0,Old Town Residential,Residential
Danville,5005,SUNSET PL,479,OTR,CITY OF DANVILLE,SUNSET PL,0.4,500,500,0,Old Town Residential,Residential
Danville,683,N MAIN ST,388,CBC,CITY OF DANVILLE,N MAIN ST,0.41,17000,17000,0,Central Business Commercial,Commercial
Danville,671,N MAIN ST,384,OTR,CITY OF DANVILLE,N MAIN ST,0.52,9200,9200,NA,Old Town Residential,Residential
Danville,4949,HENRY ST,461,OTR,CITY OF DANVILLE,HENRY ST,0.53,2500,2500,NA,Old Town Residential,Residential
Danville,5150,RIVER ST,383,OTR,CITY OF DANVILLE,RIVER ST,0.68,1800,1800,0,Old Town Residential,Residential
Danville,3425,N MAIN ST,406,OTR,CITY OF DANVILLE,N MAIN ST,0.7,14700,14700,0,Old Town Residential,Residential
Danville,181,RICHARDSON ST,471,OTR,CITY OF DANVILLE,RICHARDSON ST,0.89,1000,1000,0,Old Town Residential,Residential
Danville,4817,N MAIN ST,403,CBC,CITY OF DANVILLE,N MAIN ST,1.17,57600,57600,0,Central Business Commercial,Commercial
Danville,4970,415 CAMPBELL ST,475,OTR,CITY OF DANVILLE,415 CAMPBELL ST,1.84,4000,4000,0,Old Town Residential,Residential
Danville,5086,RIVER ST,331,HRC,CITY OF DANVILLE,RIVER ST,2.98,64800,64800,0,Highway Retail Commercial,Commercial
Danville,5001,LOCUST LN,487,OTR,CITY OF DANVILLE,LOCUST LN,9.86999999999999,10100,10100,0,Old Town Residential,Residential
Patrick County,1063283,SALEM HWY,50,NA,COUNTY OF PATRICK,SALEM HWY,0.769,2800,2800,NA,No Zoning,Unzoned
Patrick County,1063466,RYE COVE STREET,55,NA,COUNTY OF PATRICK,RYE COVE STREET,0.871,11800,11800,NA,No Zoning,Unzoned
Patrick County,1063291,SALEM HWY,10,NA,COUNTY OF PATRICK,SALEM HWY,1.606,5800,5800,NA,No Zoning,Unzoned
Patrick County,1063282,SALEM HWY,17,NA,COUNTY OF PATRICK,SALEM HWY,2.073,7500,7500,NA,No Zoning,Unzoned
Patrick County,1063290,SALEM HWY,46,NA,COUNTY OF PATRICK,SALEM HWY,3.254,11700,11700,NA,No Zoning,Unzoned
Patrick County,1063293,SALEM HWY,59,NA,COUNTY OF PATRICK,SALEM HWY,5.873,21100,21100,NA,No Zoning,Unzoned
Henry County,32320001,NA,334,A1SR,COUNTY OF HENRY,NA,19.643,58900,58900,0,NA,NA
Franklin County,820013805,NA,39,NZ,COUNTY OF FRANKLIN,NA,0.249,5000,5000,NA,Not Zoned,Unzoned
Franklin County,820013805,NA,83,NZ,COUNTY OF FRANKLIN,NA,0.249,5000,5000,NA,Not Zoned,Unzoned
Franklin County,3020002600,NA,11,NZ,TOWN OF BOONES MILL,NA,0.306,12000,12000,NA,Not Zoned,Unzoned
Franklin County,3020002601,NA,21,NZ,TOWN OF BOONES MILL,NA,0.348,12000,12000,NA,Not Zoned,Unzoned
Franklin County,440008603,NA,17,A1,TOWN OF ROCKY MOUNT,NA,0.377,1000,1000,NA,Agricultural District,Agricultural
Franklin County,1130101000,NA,34,NZ,COUNTY OF FRANKLIN,NA,0.379,4000,4000,NA,Not Zoned,Unzoned
Franklin County,1130101000,NA,72,NZ,COUNTY OF FRANKLIN,NA,0.379,4000,4000,NA,Not Zoned,Unzoned
Franklin County,2060002900,NA,22,R2,TOWN OF ROCKY MOUNT,NA,0.39,10000,10000,NA,Residential Suburban Subdivision District R-2,Residential
Franklin County,2110000102,NA,41,GB,COUNTY OF FRANKLIN,NA,0.462,60400,60400,NA,"Business District, General",Commercial
Franklin County,2110000102,NA,88,GB,COUNTY OF FRANKLIN,NA,0.462,60400,60400,NA,"Business District, General",Commercial
Franklin County,820013813,NA,35,NZ,COUNTY OF FRANKLIN,NA,0.91,27300,27300,NA,Not Zoned,Unzoned
Franklin County,820013813,NA,76,NZ,COUNTY OF FRANKLIN,NA,0.91,27300,27300,NA,Not Zoned,Unzoned
Franklin County,820005700,NA,8,NZ,FRANKLIN COUNTY BOARD OF SUPERVISORS,NA,0.96,3800,3800,NA,Not Zoned,Unzoned
Franklin County,2030000101,NA,70,SM,COUNTY OF FRANKLIN & TOWN OF ROCKY MOUNT,NA,0.987,28000,28000,NA,Smith Mountain,Overlay/Special
Franklin County,2030000101,NA,156,SM,COUNTY OF FRANKLIN & TOWN OF ROCKY MOUNT,NA,0.987,28000,28000,NA,Smith Mountain,Overlay/Special
Franklin County,530007600,NA,57,A1,COUNTY OF FRANKLIN,NA,1,90000,90000,NA,Agricultural District,Agricultural
Franklin County,530007600,NA,117,A1,COUNTY OF FRANKLIN,NA,1,90000,90000,NA,Agricultural District,Agricultural
Franklin County,2070050400,NA,14,GB,TOWN OF ROCKY MOUNT,NA,1.064,40000,40000,NA,"Business District, General",Commercial
Franklin County,0100004101A,NA,32,A1,FRANKLIN COUNTY BOARD OF SUPERVISORS,NA,1.489,10400,10400,NA,Agricultural District,Agricultural
Franklin County,370005500,NA,63,REP,COUNTY OF FRANKLIN,NA,1.546,77300,77300,NA,Regional Enterprise Park District,Industrial
Franklin County,370005500,NA,137,REP,COUNTY OF FRANKLIN,NA,1.546,77300,77300,NA,Regional Enterprise Park District,Industrial
Franklin County,0820013810C,NA,51,NZ,COUNTY OF FRANKLIN,NA,1.593,47800,47800,NA,Not Zoned,Unzoned
Franklin County,0820013810C,NA,110,NZ,COUNTY OF FRANKLIN,NA,1.593,47800,47800,NA,Not Zoned,Unzoned
Franklin County,630020501,NA,28,A1,TOWN OF ROCKY MOUNT,NA,1.624,4900,4900,NA,Agricultural District,Agricultural
Franklin County,60001400,NA,59,A1,COUNTY OF FRANKLIN <THE>,NA,1.83,9200,9200,NA,Agricultural District,Agricultural
Franklin County,60001400,NA,121,A1,COUNTY OF FRANKLIN <THE>,NA,1.83,9200,9200,NA,Agricultural District,Agricultural
Franklin County,520015301,NA,31,A1,FRANKLIN COUNTY BOARD OF SUPERVISORS,NA,2,600000,600000,NA,Agricultural District,Agricultural
Franklin County,440015201,NA,49,A1,COUNTY OF FRANKLIN,NA,2.17,119400,119400,NA,Agricultural District,Agricultural
Franklin County,440015201,NA,99,A1,COUNTY OF FRANKLIN,NA,2.17,119400,119400,NA,Agricultural District,Agricultural
Franklin County,820013810,NA,60,NZ,COUNTY OF FRANKLIN,NA,2.223,66700,66700,NA,Not Zoned,Unzoned
Franklin County,820013810,NA,125,NZ,COUNTY OF FRANKLIN,NA,2.223,66700,66700,NA,Not Zoned,Unzoned
Franklin County,60000800,NA,53,A1,COUNTY OF FRANKLIN <THE>,NA,2.24,11200,11200,NA,Agricultural District,Agricultural
Franklin County,60000800,NA,112,A1,COUNTY OF FRANKLIN <THE>,NA,2.24,11200,11200,NA,Agricultural District,Agricultural
Franklin County,60000900,NA,55,A1,COUNTY OF FRANKLIN <THE>,NA,2.32,11600,11600,NA,Agricultural District,Agricultural
Franklin County,60000900,NA,115,A1,COUNTY OF FRANKLIN <THE>,NA,2.32,11600,11600,NA,Agricultural District,Agricultural
Franklin County,60001300,NA,54,A1,COUNTY OF FRANKLIN <THE>,NA,2.5,12500,12500,NA,Agricultural District,Agricultural
Franklin County,60001300,NA,114,A1,COUNTY OF FRANKLIN <THE>,NA,2.5,12500,12500,NA,Agricultural District,Agricultural
Franklin County,2030008900,NA,48,M2,COUNTY OF FRANKLIN & TOWN OF ROCKY MOUNT,NA,3.306,79300,79300,NA,"Industrial District, Heavy Industry",Industrial
Franklin County,2030008900,NA,98,M2,COUNTY OF FRANKLIN & TOWN OF ROCKY MOUNT,NA,3.306,79300,79300,NA,"Industrial District, Heavy Industry",Industrial
Franklin County,830008002,NA,36,NZ,COUNTY OF FRANKLIN,NA,3.432,6900,6900,NA,Not Zoned,Unzoned
Franklin County,830008002,NA,78,NZ,COUNTY OF FRANKLIN,NA,3.432,6900,6900,NA,Not Zoned,Unzoned
Franklin County,2020119800,NA,65,POS,COUNTY OF FRANKLIN & TOWN OF ROCKY MOUNT,NA,3.764,150600,150600,NA,Parks/Open Space,Parks/Open Space
Franklin County,2020119800,NA,143,POS,COUNTY OF FRANKLIN & TOWN OF ROCKY MOUNT,NA,3.764,150600,150600,NA,Parks/Open Space,Parks/Open Space
Franklin County,440000500,NA,64,REP,COUNTY OF FRANKLIN,NA,10.1,202000,202000,NA,Regional Enterprise Park District,Industrial
Franklin County,440000500,NA,139,REP,COUNTY OF FRANKLIN,NA,10.1,202000,202000,NA,Regional Enterprise Park District,Industrial
Franklin County,3010008000,NA,9,NZ,TOWN OF BOONES MILL ECONOMIC DEVELOPMENT CORPORATION,NA,10.22,10200,10200,NA,Not Zoned,Unzoned
Franklin County,300006905,NA,47,A1,COUNTY OF FRANKLIN,NA,10.47,86800,86800,NA,Agricultural District,Agricultural
Franklin County,300006905,NA,97,A1,COUNTY OF FRANKLIN,NA,10.47,86800,86800,NA,Agricultural District,Agricultural
Franklin County,710002000,NA,61,A1,COUNTY OF FRANKLIN,NA,11.19,22400,22400,NA,Agricultural District,Agricultural
Franklin County,710002000,NA,129,A1,COUNTY OF FRANKLIN,NA,11.19,22400,22400,NA,Agricultural District,Agricultural
Franklin County,2030008800,NA,50,M2,COUNTY OF FRANKLIN & TOWN OF ROCKY MOUNT,NA,13.159,296100,296100,NA,"Industrial District, Heavy Industry",Industrial
Franklin County,2030008800,NA,100,M2,COUNTY OF FRANKLIN & TOWN OF ROCKY MOUNT,NA,13.159,296100,296100,NA,"Industrial District, Heavy Industry",Industrial
Franklin County,2040012900,NA,2,C1,TOWN OF ROCKY MOUNT,NA,18.4729999999999,138500,138500,NA,Residential Combined Subdivision District,Residential
Franklin County,0150004201B,NA,24,PCD,FRANKLIN COUNTY,NA,19.003,266000,266000,NA,Planned Commercial Development,Commercial
Franklin County,630020401,NA,29,A1,TOWN OF ROCKY MOUNT,NA,19.193,57600,57600,NA,Agricultural District,Agricultural
Franklin County,0370005401C,NA,68,REP,COUNTY OF FRANKLIN,NA,30,750000,750000,NA,Regional Enterprise Park District,Industrial
Franklin County,0370005401C,NA,152,REP,COUNTY OF FRANKLIN,NA,30,750000,750000,NA,Regional Enterprise Park District,Industrial
Franklin County,730002100,NA,46,NZ,COUNTY OF FRANKLIN,NA,40,154500,154500,NA,Not Zoned,Unzoned
Franklin County,730002100,NA,96,NZ,COUNTY OF FRANKLIN,NA,40,154500,154500,NA,Not Zoned,Unzoned
Franklin County,800006500,NA,69,NZ,COUNTY OF FRANKLIN,NA,82.665,222200,222200,NA,Not Zoned,Unzoned
Franklin County,800006500,NA,155,NZ,COUNTY OF FRANKLIN,NA,82.665,222200,222200,NA,Not Zoned,Unzoned
Franklin County,730009900,NA,67,NZ,COUNTY OF FRANKLIN,NA,133.75,283500,283500,NA,Not Zoned,Unzoned
Franklin County,730009900,NA,151,NZ,COUNTY OF FRANKLIN,NA,133.75,283500,283500,NA,Not Zoned,Unzoned
